,T1 Canada Level 3,T1 Canada Level 2,T1 International,T1 United States,T3 Canada,T3 International,T3 United States
2022-05-08 18:20:04.593721,10-15 min,Less than 5 min,5-10 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-08 18:30:04.027666,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-08 18:40:09.239522,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min
2022-05-08 18:50:04.759407,5-10 min,Less than 5 min,5-10 min,5-10 min,15-20 min,Less than 5 min,Less than 5 min
2022-05-08 19:00:04.634502,5-10 min,Less than 5 min,5-10 min,Less than 5 min,15-20 min,Less than 5 min,5-10 min
2022-05-08 19:10:05.125090,5-10 min,Less than 5 min,10-15 min,Less than 5 min,25-30 min,Less than 5 min,5-10 min
2022-05-08 19:20:07.284168,10-15 min,Less than 5 min,10-15 min,Less than 5 min,25-30 min,Less than 5 min,10-15 min
2022-05-08 19:30:08.193913,15-20 min,Less than 5 min,15-20 min,Less than 5 min,25-30 min,Less than 5 min,5-10 min
2022-05-08 19:40:05.342859,15-20 min,Less than 5 min,20-25 min,Less than 5 min,20-25 min,Less than 5 min,5-10 min
2022-05-08 19:50:04.107962,15-20 min,Less than 5 min,20-25 min,5-10 min,15-20 min,Less than 5 min,5-10 min
2022-05-08 20:00:05.042533,20-25 min,Less than 5 min,15-20 min,10-15 min,15-20 min,Less than 5 min,5-10 min
2022-05-08 20:10:04.661997,20-25 min,Less than 5 min,15-20 min,10-15 min,15-20 min,Less than 5 min,Less than 5 min
2022-05-08 20:20:03.943368,25-30 min,Less than 5 min,15-20 min,5-10 min,20-25 min,Less than 5 min,Less than 5 min
2022-05-08 20:30:04.342243,25-30 min,Less than 5 min,15-20 min,10-15 min,15-20 min,5-10 min,Less than 5 min
2022-05-08 20:40:04.522051,25-30 min,Less than 5 min,15-20 min,10-15 min,15-20 min,10-15 min,Less than 5 min
2022-05-08 20:50:04.035363,20-25 min,Less than 5 min,20-25 min,15-20 min,10-15 min,5-10 min,5-10 min
2022-05-08 21:00:04.928338,15-20 min,Less than 5 min,20-25 min,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 21:10:04.124254,15-20 min,Less than 5 min,25-30 min,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 21:20:04.528172,20-25 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 21:30:08.945607,15-20 min,Less than 5 min,25-30 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 21:40:04.290838,15-20 min,Less than 5 min,25-30 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 21:50:04.765072,25-30 min,Less than 5 min,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 22:00:03.613458,More than 30 min,Less than 5 min,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 22:10:03.913145,More than 30 min,Less than 5 min,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 22:20:03.591427,More than 30 min,Less than 5 min,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 22:30:03.249476,25-30 min,Less than 5 min,15-20 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-08 22:40:04.793246,20-25 min,Less than 5 min,10-15 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-08 22:50:08.910883,10-15 min,Less than 5 min,5-10 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
